Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000082894	Gm6480	X
ENSMUSG00000067377	Tspan6	X
ENSMUSG00000084875	4930570D08Rik	X
ENSMUSG00000041133	Smc1a	X
ENSMUSG00000083474	Gm15267	X
ENSMUSG00000081306	Gm15266	X
ENSMUSG00000031253	Srpx2	X
ENSMUSG00000031388	Naa10	X
ENSMUSG00000031099	Smarca1	X
ENSMUSG00000068014	Gm14648	X
ENSMUSG00000031255	Sytl4	X
ENSMUSG00000080788	Gm7841	X
ENSMUSG00000001173	Ocrl	X
ENSMUSG00000031387	Renbp	X
ENSMUSG00000037010	Apln	X
ENSMUSG00000031256	Cstf2	X
ENSMUSG00000093172	Mir3112	X
ENSMUSG00000087403	Kantr	X
ENSMUSG00000037005	Xpnpep2	X
ENSMUSG00000041096	Tspyl2	X
ENSMUSG00000056679	Gpr173	X
ENSMUSG00000031101	Sash3	X
ENSMUSG00000031386	Hcfc1	X
ENSMUSG00000080829	Gm8545	X
ENSMUSG00000084885	3010001F23Rik	X
ENSMUSG00000087235	Gm4750	X
ENSMUSG00000087569	Actb-ps1	X
ENSMUSG00000091863	Cldn34a	X
ENSMUSG00000083948	Gm7158	X
ENSMUSG00000036985	Zdhhc9	X
ENSMUSG00000064806	Gm24038	X
ENSMUSG00000031257	Nox1	X
ENSMUSG00000031258	Xkrx	X
ENSMUSG00000052549	Arl13a	X
ENSMUSG00000063785	Utp14a	X
ENSMUSG00002076619	Gm54604	X
ENSMUSG00000084275	Gm5396	X
ENSMUSG00000081180	Gm7212	X
ENSMUSG00002076264	Gm54605	X
ENSMUSG00000098118	Gm26960	X
ENSMUSG00000071665	Foxr2	X
ENSMUSG00000041658	Rragb	X
ENSMUSG00000082733	Gm15153	X
ENSMUSG00000041649	Klf8	X
ENSMUSG00000080743	Gm7150	X
ENSMUSG00000050148	Ubqln2	X
ENSMUSG00000080799	Gm15166	X
ENSMUSG00000048573	Cypt3	X
ENSMUSG00000119184	Gm25793	X
ENSMUSG00000083488	Gm8534	X
ENSMUSG00000041633	Kctd12b	X
ENSMUSG00000109128	Gm45022	X
ENSMUSG00000086316	Nbdy	X
ENSMUSG00000082906	Smt3h1-ps	X
ENSMUSG00000036959	Bcorl1	X
ENSMUSG00000046550	Spin2c	X
ENSMUSG00000065648	Gm25895	X
ENSMUSG00000094802	Samt1	X
ENSMUSG00000067369	Trmt2b	X
ENSMUSG00000094577	Samt1b	X
ENSMUSG00000096867	Samt1c	X
ENSMUSG00000094427	Gm15143	X
ENSMUSG00000095065	Gm5947	X
ENSMUSG00000094592	Samt1d	X
ENSMUSG00000033578	Tmem35a	X
ENSMUSG00000093899	Gm5645	X
ENSMUSG00000094118	Gm16445	X
ENSMUSG00000082751	Gm6620	X
ENSMUSG00000082462	Gm15147	X
ENSMUSG00000083978	Gm5060	X
ENSMUSG00000081870	Gm15141	X
ENSMUSG00000059663	Samt2b	X
ENSMUSG00000081502	Gm5646	X
ENSMUSG00000082584	Gm8569	X
ENSMUSG00000025051	Samt4	X
ENSMUSG00000072888	Samt2	X
ENSMUSG00000031103	Elf4	X
ENSMUSG00000084367	Gm15142	X
ENSMUSG00000064818	Gm22359	X
ENSMUSG00000082197	Gm8577	X
ENSMUSG00000072100	Cldn34b1	X
ENSMUSG00000063728	Magea6	X
ENSMUSG00000094196	Magea3	X
ENSMUSG00000083554	Gm6645	X
ENSMUSG00002075357	Gm25257	X
ENSMUSG00000079350	Magea8	X
ENSMUSG00000055746	Magea2	X
ENSMUSG00002075311	Gm24268	X
ENSMUSG00000079349	Magea5	X
ENSMUSG00000096644	Magea1	X
ENSMUSG00000057402	Cldn34b2	X
ENSMUSG00000088232	Gm25429	X
ENSMUSG00000045694	Gm4997	X
ENSMUSG00000083823	Amd-ps1	X
ENSMUSG00000081364	Gm8595	X
ENSMUSG00000082560	Gm15157	X
ENSMUSG00000036932	Aifm1	X
ENSMUSG00000031104	Rab33a	X
ENSMUSG00000025283	Sat1	X
ENSMUSG00000084065	Gm15159	X
ENSMUSG00000031262	Cenpi	X
ENSMUSG00000025287	Acot9	X
ENSMUSG00000052157	Gm650	X
ENSMUSG00000025289	Prdx4	X
ENSMUSG00000081821	Gm15158	X
ENSMUSG00000083362	Gm8606	X
ENSMUSG00002076897	Gm54626	X
ENSMUSG00000041552	Ptchd1	X
ENSMUSG00000084932	Gm15156	X
ENSMUSG00000055109	Gm15155	X
ENSMUSG00000081386	Gm15160	X
ENSMUSG00000064477	Gm23404	X
ENSMUSG00000082612	4930503H13Rik	X
ENSMUSG00000083573	Gm7312	X
ENSMUSG00000084246	Gm15162	X
ENSMUSG00000085711	Gm15163	X
ENSMUSG00002076703	Gm54630	X
ENSMUSG00000096426	Btbd35f24	X
ENSMUSG00000084298	Gm14331	X
ENSMUSG00000095907	Gm14333	X
ENSMUSG00000080876	Gm14332	X
ENSMUSG00000083144	Gm14334	X
ENSMUSG00000083918	Gm14352	X
ENSMUSG00000057457	Phex	X
ENSMUSG00000094558	Btbd35f11	X
ENSMUSG00000081589	Gm14353	X
ENSMUSG00002076812	Gm54632	X
ENSMUSG00000082167	Gm14360	X
ENSMUSG00000077609	Gm25795	X
ENSMUSG00000095492	Gm14361	X
ENSMUSG00000082708	Gm15172	X
ENSMUSG00000083841	Gm1947	X
ENSMUSG00000077422	Gm24281	X
ENSMUSG00000094876	Btbd35f18	X
ENSMUSG00000095716	Btbd35f10	X
ENSMUSG00000095259	Gm14357	X
ENSMUSG00000082025	Gm14359	X
ENSMUSG00000096524	Gm14355	X
ENSMUSG00000080300	Spin2-ps1	X
ENSMUSG00000101381	Btbd35f16	X
ENSMUSG00000094725	Gm15251	X
ENSMUSG00000096733	Gm15257	X
ENSMUSG00000078218	Btbd35f3	X
ENSMUSG00000085978	Gm15258	X
ENSMUSG00000080299	Gm14350	X
ENSMUSG00000084955	Gm14349	X
ENSMUSG00000082081	Gm14358	X
ENSMUSG00000093977	Gm14362	X
ENSMUSG00000082489	Gm14356	X
ENSMUSG00000094307	Btbd35f28	X
ENSMUSG00000094596	Btbd35f20	X
ENSMUSG00000094240	Gm14348	X
ENSMUSG00000085775	Gm14364	X
ENSMUSG00000085966	Gm14368	X
ENSMUSG00000095411	Gm15260	X
ENSMUSG00000094273	Btbd35f17	X
ENSMUSG00000094794	Gm6019	X
ENSMUSG00000080073	Gm9427	X
ENSMUSG00000094323	Gm15256	X
ENSMUSG00000078214	Gm5925	X
ENSMUSG00000096800	Gm4725	X
ENSMUSG00000000223	Drp2	X
ENSMUSG00000085686	Gm9498	X
ENSMUSG00000095657	Gm15252	X
ENSMUSG00000078213	Btbd35f4	X
ENSMUSG00000094693	Gm4726	X
ENSMUSG00000078212	Gm3757	X
ENSMUSG00000086497	Gm15259	X
ENSMUSG00000095436	Gm15254	X
ENSMUSG00000071708	Sms	X
ENSMUSG00000094860	Btbd35f27	X
ENSMUSG00000094358	Gm14370	X
ENSMUSG00000080792	Gm14367	X
ENSMUSG00000094401	Gm14365	X
ENSMUSG00000085706	Gm9428	X
ENSMUSG00000078210	Gm5924	X
ENSMUSG00000081626	Gm14369	X
ENSMUSG00000082975	Gm14363	X
ENSMUSG00000044597	Mycs	X
ENSMUSG00000082326	Gm14366	X
ENSMUSG00000082270	Gm14375	X
ENSMUSG00000095814	Btbd35f7	X
ENSMUSG00000081232	Gm14373	X
ENSMUSG00000081486	Gm14452	X
ENSMUSG00000083939	Gm14451	X
ENSMUSG00000080186	Gm14448	X
ENSMUSG00000081661	Gm14450	X
ENSMUSG00000097342	Gm26618	X
ENSMUSG00000073295	Nudt11	X
ENSMUSG00000082109	Rpl19-ps12	X
ENSMUSG00002076767	Gm54638	X
ENSMUSG00000073294	Ezhip	X
ENSMUSG00000118952	n-R5s2	X
ENSMUSG00000073293	Nudt10	X
ENSMUSG00000009596	Taf7l	X
ENSMUSG00000023279	Bmp15	X
ENSMUSG00000070641	Gm16410	X
ENSMUSG00000088275	Gm23124	X
ENSMUSG00000036916	Zfp280c	X
ENSMUSG00000048007	Timm8a1	X
ENSMUSG00000046873	Mbtps2	X
ENSMUSG00000082002	Gm6568	X
ENSMUSG00000091736	Yy2	X
ENSMUSG00000081415	Gm15176	X
ENSMUSG00000083636	Gm15175	X
ENSMUSG00000081222	Gm15173	X
ENSMUSG00002075957	Gm54648	X
ENSMUSG00000081505	Gm8644	X
ENSMUSG00000083117	Gm15171	X
ENSMUSG00000083166	Gm8648	X
ENSMUSG00000068270	Shroom4	X
ENSMUSG00000041476	Smpx	X
ENSMUSG00000086188	Gm15169	X
ENSMUSG00000047485	Klhl34	X
ENSMUSG00000031264	Btk	X
ENSMUSG00000083687	Gm15154	X
ENSMUSG00000079435	Rpl36a	X
ENSMUSG00000031105	Slc25a14	X
ENSMUSG00002075412	Gm54663	X
ENSMUSG00000051209	Gpr119	X
ENSMUSG00000031266	Gla	X
ENSMUSG00000031107	Rbmx2	X
ENSMUSG00000050089	Akap4	X
ENSMUSG00000082240	Gm14380	X
ENSMUSG00000079606	Fsip2l	X
ENSMUSG00000081526	Gm7219	X
ENSMUSG00000045427	Hnrnph2	X
ENSMUSG00000085226	Gm7855	X
ENSMUSG00000082655	Gm7857	X
ENSMUSG00000087024	B230119M05Rik	X
ENSMUSG00000049804	Armcx4	X
ENSMUSG00000025658	Cnksr2	X
ENSMUSG00000082076	Gm8659	X
ENSMUSG00000083136	Gm15170	X
ENSMUSG00000081797	Gm8662	X
ENSMUSG00000084270	Gm15177	X
ENSMUSG00000088896	Gm22522	X
ENSMUSG00000084210	Gm15168	X
ENSMUSG00000082026	Gm5764	X
ENSMUSG00000083316	Gm15185	X
ENSMUSG00000083625	Gm15188	X
ENSMUSG00000083127	Gm15189	X
ENSMUSG00000004317	Clcn5	X
ENSMUSG00000089127	Gm26401	X
ENSMUSG00000070108	Mir500	X
ENSMUSG00000076251	Mir501	X
ENSMUSG00000070100	Mir362	X
ENSMUSG00000065398	Mir188	X
ENSMUSG00000070139	Mir532	X
ENSMUSG00000046269	Usp27x	X
ENSMUSG00000087252	Gm14379	X
ENSMUSG00000083535	Gm14381	X
ENSMUSG00000084150	Gm14395	X
ENSMUSG00000083402	Gm14394	X
ENSMUSG00000088477	Gm23082	X
ENSMUSG00000033460	Armcx1	X
ENSMUSG00000081972	Gm16397	X
ENSMUSG00000102207	Gm10344	X
ENSMUSG00000050394	Armcx6	X
ENSMUSG00000039556	Ppp1r3f	X
ENSMUSG00000103436	Gm36995	X
ENSMUSG00000039545	Flicr	X
ENSMUSG00000049047	Armcx3	X
ENSMUSG00000099272	Mir7093	X
ENSMUSG00000031392	Irak1	X
ENSMUSG00000031309	Rps6ka3	X
ENSMUSG00000092907	Mir5132	X
ENSMUSG00000076127	Mir718	X
ENSMUSG00000033436	Armcx2	X
ENSMUSG00000083236	Gm7222	X
ENSMUSG00000081292	Gm15018	X
ENSMUSG00000067194	Eif1ax	X
ENSMUSG00000083437	Gm15187	X
ENSMUSG00000031393	Mecp2	X
ENSMUSG00000031394	Opn1mw	X
ENSMUSG00000081118	Gm6758	X
ENSMUSG00000062564	Tex28	X
ENSMUSG00000084131	Rpl3-ps2	X
ENSMUSG00000031397	Tktl1	X
ENSMUSG00000041020	Map7d2	X
ENSMUSG00002075682	Gm54697	X
ENSMUSG00000009941	Nxf2	X
ENSMUSG00000052676	Zmat1	X
ENSMUSG00000089759	3632454L22Rik	X
ENSMUSG00000081146	Gm6207	X
ENSMUSG00000085556	Gm15020	X
ENSMUSG00000119932	Gm25868	X
ENSMUSG00000031109	Enox2	X
ENSMUSG00000044150	Bclaf3	X
ENSMUSG00000082693	Gm15190	X
ENSMUSG00000083906	Gm15186	X
ENSMUSG00000079432	Gm15023	X
ENSMUSG00000081320	Gm15034	X
ENSMUSG00000082347	Gm15036	X
ENSMUSG00000087369	Gm14696	X
ENSMUSG00000086948	Gm14697	X
ENSMUSG00000031409	Tceal6	X
ENSMUSG00000081709	Gm15022	X
ENSMUSG00000082071	Pramex2	X
ENSMUSG00000067360	Pramel3	X
ENSMUSG00000119221	Gm25936	X
ENSMUSG00000087428	Gm15017	X
ENSMUSG00000095599	Gm6215	X
ENSMUSG00000094004	Gm5128	X
ENSMUSG00000118957	Gm22006	X
ENSMUSG00000095964	Gm6221	X
ENSMUSG00000036198	Arhgap36	X
ENSMUSG00000096508	Gm7903	X
ENSMUSG00000119763	Gm24416	X
ENSMUSG00000083455	Gm15037	X
ENSMUSG00000082192	Gm14719	X
ENSMUSG00000094371	Gm7905	X
ENSMUSG00000071764	Olfr1320	X
ENSMUSG00000067971	Olfr1321	X
ENSMUSG00000054994	AV320801	X
ENSMUSG00000119569	Gm22233	X
ENSMUSG00000086685	Gm15015	X
ENSMUSG00000096119	Gm6228	X
ENSMUSG00000039521	Foxp3	X
ENSMUSG00000031143	Ccdc22	X
ENSMUSG00000031410	Nxf7	X
ENSMUSG00000031411	Pramex1	X
ENSMUSG00000082602	Gm15021	X
ENSMUSG00000031111	Igsf1	X
ENSMUSG00002075946	Gm54731	X
ENSMUSG00000058252	Tcp11x2	X
ENSMUSG00000056281	Olfr1322	X
ENSMUSG00000083399	Gm15033	X
ENSMUSG00000060726	Tmsb15a	X
ENSMUSG00000050504	Olfr1323	X
ENSMUSG00000084330	Gm15019	X
ENSMUSG00002074871	Gm54733	X
ENSMUSG00000118656	Gm54734	X
ENSMUSG00000083754	Gm7803	X
ENSMUSG00000082660	Gm14612	X
ENSMUSG00000119917	Gm22288	X
ENSMUSG00000072969	Armcx5	X
ENSMUSG00000048173	Olfr1324	X
ENSMUSG00000083112	Gm14620	X
ENSMUSG00000043384	Gprasp1	X
ENSMUSG00000106264	Mir7646	X
ENSMUSG00000088464	Mir1970	X
ENSMUSG00000072964	Bhlhb9	X
ENSMUSG00000031112	Stk26	X
ENSMUSG00000036131	Frmd7	X
ENSMUSG00000050029	Rap2c	X
ENSMUSG00000082556	Gm5387	X
ENSMUSG00000036109	Mbnl3	X
ENSMUSG00000082950	Btf3-ps10	X
ENSMUSG00000081350	Gm5388	X
ENSMUSG00002075057	Gm54746	X
ENSMUSG00000081188	Gm14621	X
ENSMUSG00000031328	Flna	X
ENSMUSG00000062184	Hs6st2	X
ENSMUSG00000082968	Gm14581	X
ENSMUSG00000055780	Usp26	X
ENSMUSG00000081439	Gm7840	X
ENSMUSG00000088792	Gm22539	X
ENSMUSG00000031118	Magea14	X
ENSMUSG00000040990	Sh3kbp1	X
ENSMUSG00000031119	Gpc4	X
ENSMUSG00000072966	Gprasp2	X
ENSMUSG00000083223	Gm15016	X
ENSMUSG00000048040	Arxes2	X
ENSMUSG00000001964	Emd	X
ENSMUSG00000048355	Arxes1	X
ENSMUSG00000081375	Gm14686	X
ENSMUSG00000042750	Bex2	X
ENSMUSG00000055653	Gpc3	X
ENSMUSG00000086704	Gm14582	X
ENSMUSG00000105738	Mir6384	X
ENSMUSG00000076214	Mir717	X
ENSMUSG00000055110	A630012P03Rik	X
ENSMUSG00000031303	Map3k15	X
ENSMUSG00000070106	Mir363	X
ENSMUSG00000065613	Mir92-2	X
ENSMUSG00000083393	Gm15194	X
ENSMUSG00000082810	Gm8682	X
ENSMUSG00000065473	Mir19b-2	X
ENSMUSG00000076041	Mir20b	X
ENSMUSG00000077111	Mir18b	X
ENSMUSG00000065456	Mir106a	X
ENSMUSG00000086173	Kis2	X
ENSMUSG00000083621	Gm14586	X
ENSMUSG00000081843	Gm7851	X
ENSMUSG00000057000	Nxf3	X
ENSMUSG00000073207	Ccdc160	X
ENSMUSG00000087553	5730412P04Rik	X
ENSMUSG00000047844	Bex4	X
ENSMUSG00000031299	Pdha1	X
ENSMUSG00000082500	Gm15195	X
ENSMUSG00000083318	Gm15192	X
ENSMUSG00000083516	Gm15196	X
ENSMUSG00000081536	Gm15193	X
ENSMUSG00000051579	Tceal8	X
ENSMUSG00000098493	Mir6383	X
ENSMUSG00000008682	Rpl10	X
ENSMUSG00000119320	Snora70	X
ENSMUSG00000054034	Tceal5	X
ENSMUSG00000050071	Bex1	X
ENSMUSG00000079428	Tceal7	X
ENSMUSG00000042712	Tceal9	X
ENSMUSG00000031142	Cacna1f	X
ENSMUSG00000046432	Bex3	X
ENSMUSG00000119032	n-R5s12	X
ENSMUSG00000083470	Nsa2-ps2	X
ENSMUSG00000083324	Gm14997	X
ENSMUSG00000083162	Gm4917	X
ENSMUSG00000084216	Btf3-ps3	X
ENSMUSG00000084245	Gm14994	X
ENSMUSG00000082261	Gm14999	X
ENSMUSG00000083517	Gm14998	X
ENSMUSG00000081507	Gm14993	X
ENSMUSG00000096589	Gm14992	X
ENSMUSG00000095327	Gm14996	X
ENSMUSG00000082358	Gm14990	X
ENSMUSG00000081286	Gm14995	X
ENSMUSG00000031144	Syp	X
ENSMUSG00000087644	Gm14703	X
ENSMUSG00000019088	Dnase1l1	X
ENSMUSG00000061082	Plac1	X
ENSMUSG00000099226	Mir7091	X
ENSMUSG00000084271	Gm14846	X
ENSMUSG00000057439	Kir3dl2	X
ENSMUSG00000082021	Gm14991	X
ENSMUSG00000031145	Prickle3	X
ENSMUSG00000031146	Plp2	X
ENSMUSG00000031147	Magix	X
ENSMUSG00000081083	Gm6079	X
ENSMUSG00000031424	Kir3dl1	X
ENSMUSG00000083828	Gm15006	X
ENSMUSG00000082504	Gm15003	X
ENSMUSG00000095702	Gm15005	X
ENSMUSG00000082421	Gm15004	X
ENSMUSG00000031148	Gpkow	X
ENSMUSG00000036022	Fam122b	X
ENSMUSG00000044550	Tceal3	X
ENSMUSG00000080874	Gm15010	X
ENSMUSG00002076841	Gm54805	X
ENSMUSG00000049536	Tceal1	X
ENSMUSG00000036013	Fam122c	X
ENSMUSG00002076992	Gm54807	X
ENSMUSG00000081145	Gm14585	X
ENSMUSG00000023074	Mospd1	X
ENSMUSG00000083798	Gm14584	X
ENSMUSG00000060967	Etd	X
ENSMUSG00000031422	Morf4l2	X
ENSMUSG00000087368	BC065397	X
ENSMUSG00000018595	Glra4	X
ENSMUSG00000082214	Gm15009	X
ENSMUSG00000081937	Gm14599	X
ENSMUSG00000083278	Gm14589	X
ENSMUSG00000080968	Atf1-ps	X
ENSMUSG00000083428	Gm14591	X
ENSMUSG00000086711	Gm15482	X
ENSMUSG00000081119	Gm14601	X
ENSMUSG00000080321	Gm14644	X
ENSMUSG00000118772	Gm22550	X
ENSMUSG00000082817	Gm16428	X
ENSMUSG00000081477	Gm7916	X
ENSMUSG00000096308	Gm14598	X
ENSMUSG00000084070	Gm6591	X
ENSMUSG00000094698	Gm14596	X
ENSMUSG00000081638	Gm14594	X
ENSMUSG00000031425	Plp1	X
ENSMUSG00000096468	Gm16405	X
ENSMUSG00000094714	Gm16430	X
ENSMUSG00000094975	Gm14595	X
ENSMUSG00000096376	Gm14590	X
ENSMUSG00000083069	Gm16431	X
ENSMUSG00000094423	Gm7950	X
ENSMUSG00000095890	Gm7958	X
ENSMUSG00000080889	Gm7974	X
ENSMUSG00000009995	Tafazzin	X
ENSMUSG00000067909	Slxl1	X
ENSMUSG00000094317	Gm6660	X
ENSMUSG00000096127	Gm14625	X
ENSMUSG00000095398	Gm16404	X
ENSMUSG00000081298	Gm14622	X
ENSMUSG00000096374	Gm6664	X
ENSMUSG00000084369	Gm14626	X
ENSMUSG00000081706	Gm7927	X
ENSMUSG00000083249	Gm14623	X
ENSMUSG00000081089	Gm14624	X
ENSMUSG00000118650	Gm54820	X
ENSMUSG00002075643	Gm54821	X
ENSMUSG00000082606	Gm14638	X
ENSMUSG00000031125	3830403N18Rik	X
ENSMUSG00000082253	Gm14639	X
ENSMUSG00000073177	Gm773	X
ENSMUSG00000081024	Gm14627	X
ENSMUSG00000085114	1600025M17Rik	X
ENSMUSG00000073176	Zfp449	X
ENSMUSG00000097288	Gm2155	X
ENSMUSG00000054850	Smim10l2a	X
ENSMUSG00000081620	Gm14633	X
ENSMUSG00000058932	Gm2174	X
ENSMUSG00000042595	Fam199x	X
ENSMUSG00000089191	Gm25770	X
ENSMUSG00000080718	Gm8019	X
ENSMUSG00000084086	Gm5761	X
ENSMUSG00000081938	Gm15039	X
ENSMUSG00000095988	Gm15042	X
ENSMUSG00000095591	Gm15045	X
ENSMUSG00000082011	Gm15043	X
ENSMUSG00000083493	Gm15044	X
ENSMUSG00000019087	Atp6ap1	X
ENSMUSG00000023443	Esx1	X
ENSMUSG00000082696	Gm15040	X
ENSMUSG00000081349	Gm15041	X
ENSMUSG00002075811	Gm54830	X
ENSMUSG00000082955	Gm8036	X
ENSMUSG00000059203	Il1rapl2	X
ENSMUSG00000082135	Gm14988	X
ENSMUSG00002076735	Gm54832	X
ENSMUSG00000084118	Gm14989	X
ENSMUSG00002076754	Gm54834	X
ENSMUSG00000071686	Tex13a	X
ENSMUSG00000118858	Gm22057	X
ENSMUSG00000087832	Gm23958	X
ENSMUSG00000081017	Gm15000	X
ENSMUSG00000083053	Gm15001	X
ENSMUSG00000015291	Gdi1	X
ENSMUSG00000001962	Fam50a	X
ENSMUSG00000106409	Mir7092	X
ENSMUSG00000035967	Ints6l	X
ENSMUSG00000073173	Gm10477	X
ENSMUSG00000064016	Gm648	X
ENSMUSG00000061273	Mmgt1	X
ENSMUSG00000092787	Mir5116	X
ENSMUSG00000052854	Nrk	X
ENSMUSG00000031398	Plxna3	X
ENSMUSG00000015289	Lage3	X
ENSMUSG00000031271	Serpina7	X
ENSMUSG00000031270	4930513O06Rik	X
ENSMUSG00000042525	4933428M09Rik	X
ENSMUSG00000083180	Gm15007	X
ENSMUSG00000015290	Ubl4a	X
ENSMUSG00000032806	Slc10a3	X
ENSMUSG00000060681	Slc9a6	X
ENSMUSG00000088394	Gm26312	X
ENSMUSG00000042515	Pwwp3b	X
ENSMUSG00000081869	Gm15002	X
ENSMUSG00000051257	Trap1a	X
ENSMUSG00000084205	Gm8061	X
ENSMUSG00000031399	Fam3a	X
ENSMUSG00000042473	Tbc1d8b	X
ENSMUSG00000072945	Ripply1	X
ENSMUSG00000081018	Gm15012	X
ENSMUSG00000047230	Cldn2	X
ENSMUSG00000023092	Fhl1	X
ENSMUSG00000088944	Gm23258	X
ENSMUSG00000067878	Map7d3	X
ENSMUSG00000039382	Wdr45	X
ENSMUSG00000109493	Gm45208	X
ENSMUSG00000031149	Praf2	X
ENSMUSG00000053852	Adgrg4	X
ENSMUSG00000031298	Adgrg2	X
ENSMUSG00000031130	Brs3	X
ENSMUSG00000087505	Gm15241	X
ENSMUSG00000031150	Ccdc120	X
ENSMUSG00000082617	Smt3h2-ps	X
ENSMUSG00000067873	Htatsf1	X
ENSMUSG00000031434	Morc4	X
ENSMUSG00000031131	Vgll1	X
ENSMUSG00000085808	Gm14718	X
ENSMUSG00000031132	Cd40lg	X
ENSMUSG00000004221	Ikbkg	X
ENSMUSG00000031400	G6pdx	X
ENSMUSG00000079536	Ctag2l1	X
ENSMUSG00000082707	Gm6881	X
ENSMUSG00000083283	Gm15361	X
ENSMUSG00000083768	Gm15362	X
ENSMUSG00000082447	Gm15364	X
ENSMUSG00000065291	Gm26125	X
ENSMUSG00000031433	Rbm41	X
ENSMUSG00000085066	Gm4989	X
ENSMUSG00000081374	Gm15011	X
ENSMUSG00000043715	Olfr1326	X
ENSMUSG00000051706	Olfr1325	X
ENSMUSG00000077462	Gm26417	X
ENSMUSG00000079534	Pwwp4c	X
ENSMUSG00000081804	Xlr5d-ps	X
ENSMUSG00000080072	Spin2-ps2	X
ENSMUSG00000083847	Xlr3d-ps	X
ENSMUSG00000080777	Gm15365	X
ENSMUSG00000065859	Gm22351	X
ENSMUSG00000084066	Xlr4d-ps	X
ENSMUSG00000079532	Ctag2l2	X
ENSMUSG00000082288	Gm14755	X
ENSMUSG00000082427	Olfr1327-ps1	X
ENSMUSG00000082910	Gm14758	X
ENSMUSG00000081814	Gm14695	X
ENSMUSG00000031295	Phka2	X
ENSMUSG00000082170	Gm8617	X
ENSMUSG00000031133	Arhgef6	X
ENSMUSG00000086081	Spin2-ps3	X
ENSMUSG00000085695	Gm15243	X
ENSMUSG00000081612	Xlr5e-ps	X
ENSMUSG00000079531	Pwwp4d	X
ENSMUSG00000080822	Gm14694	X
ENSMUSG00000081832	Gm6897	X
ENSMUSG00000080193	Gm14756	X
ENSMUSG00000085877	Spin2-ps4	X
ENSMUSG00000081940	Xlr3e-ps	X
ENSMUSG00000081357	Xlr4e-ps	X
ENSMUSG00000083981	Gm15363	X
ENSMUSG00000072944	Nup62cl	X
ENSMUSG00000042433	Dnaaf6b	X
ENSMUSG00000081761	Gm6298	X
ENSMUSG00000086441	Gm15046	X
ENSMUSG00000093102	Mir3475	X
ENSMUSG00000062168	Ppef1	X
ENSMUSG00000083945	Gm15242	X
ENSMUSG00000082449	Gm15244	X
ENSMUSG00000031293	Rs1	X
ENSMUSG00000042425	Frmpd3	X
ENSMUSG00000082031	Gm8097	X
ENSMUSG00000032750	Gab3	X
ENSMUSG00000119217	Gm25629	X
ENSMUSG00000082873	Gm15367	X
ENSMUSG00000031432	Prps1	X
ENSMUSG00000031431	Tsc22d3	X
ENSMUSG00000118524	Gm53027	X
ENSMUSG00000081408	Gm15047	X
ENSMUSG00002076100	Gm54931	X
ENSMUSG00000000134	Tfe3	X
ENSMUSG00000031403	Dkc1	X
ENSMUSG00000000266	Mid2	X
ENSMUSG00000089437	Gm23199	X
ENSMUSG00000089014	Gm25520	X
ENSMUSG00000085146	Eif2c5	X
ENSMUSG00000031134	Rbmx	X
ENSMUSG00000031292	Cdkl5	X
ENSMUSG00000065110	Snord61	X
ENSMUSG00000055691	Gja6	X
ENSMUSG00000079584	Tm9sf5	X
ENSMUSG00000036357	Gpr101	X
ENSMUSG00000081100	Gm14630	X
ENSMUSG00000081896	Gm5389	X
ENSMUSG00000084103	Gm14629	X
ENSMUSG00000080710	Gm8107	X
ENSMUSG00000084394	Gm8111	X
ENSMUSG00000083821	Gm14631	X
ENSMUSG00000119893	Gm25023	X
ENSMUSG00000067860	Zic3	X
ENSMUSG00000081837	Gm14649	X
ENSMUSG00000084044	Gm14647	X
ENSMUSG00000119633	Gm25851	X
ENSMUSG00000084305	Gm14645	X
ENSMUSG00000081373	Gm16436	X
ENSMUSG00000083982	Gm14650	X
ENSMUSG00000083843	Gm7071	X
ENSMUSG00002075721	Gm54964	X
ENSMUSG00000031402	Mpp1	X
ENSMUSG00000083416	Gm15378	X
ENSMUSG00000080254	Fam220-ps	X
ENSMUSG00000073094	Smim9	X
ENSMUSG00000082244	Gm8503	X
ENSMUSG00000031137	Fgf13	X
ENSMUSG00002075757	Gm54975	X
ENSMUSG00002076133	Gm54976	X
ENSMUSG00000083366	Gm14887	X
ENSMUSG00000031138	F9	X
ENSMUSG00000046993	Gm5637	X
ENSMUSG00000081341	Gm14891	X
ENSMUSG00000031273	Col4a6	X
ENSMUSG00000082223	Gm15079	X
ENSMUSG00000000037	Scml2	X
ENSMUSG00000080983	Gm5419	X
ENSMUSG00000031196	F8	X
ENSMUSG00000083736	Gm6039	X
ENSMUSG00000081633	Gm8522	X
ENSMUSG00000108981	Gm15262	X
ENSMUSG00000081845	Prkaca-ps1	X
ENSMUSG00000031198	Fundc2	X
ENSMUSG00000043518	Rai2	X
ENSMUSG00000086540	Scml1	X
ENSMUSG00000090110	Cmc4	X
ENSMUSG00000059493	Nhs	X
ENSMUSG00000087571	Gm15202	X
ENSMUSG00000119084	Gm26317	X
ENSMUSG00000119452	Gm23794	X
ENSMUSG00002076355	Gm54996	X
ENSMUSG00002075955	Gm54997	X
ENSMUSG00000082625	Gm15204	X
ENSMUSG00000031153	Gripap1	X
ENSMUSG00000031139	Mcf2	X
ENSMUSG00000031200	Mtcp1	X
ENSMUSG00000080645	Mir1198	X
ENSMUSG00000009731	Kcnd1	X
